Date,Open,High,Low,Close,Adj Close,Volume
2020-11-30,44500.000000,44525.000000,41975.000000,42250.000000,37807.402344,5045700
2020-12-01,42500.000000,43700.000000,42250.000000,43000.000000,38478.542969,2655800
2020-12-02,43425.000000,44800.000000,43100.000000,44525.000000,39843.187500,2701000
2020-12-03,44550.000000,45000.000000,43800.000000,44250.000000,39597.105469,3270900
2020-12-04,44200.000000,44275.000000,43725.000000,44000.000000,39373.390625,1342700
2020-12-07,44500.000000,45500.000000,44250.000000,45475.000000,40693.296875,4187700
2020-12-08,46400.000000,48100.000000,46400.000000,47600.000000,42594.851563,7463700
2020-12-10,48000.000000,49975.000000,44275.000000,44275.000000,39619.472656,9508800
2020-12-11,41225.000000,43000.000000,41200.000000,41350.000000,37002.035156,21013000
2020-12-14,41350.000000,43150.000000,41350.000000,42950.000000,38433.800781,4935400
2020-12-15,42800.000000,42800.000000,41900.000000,42000.000000,37583.687500,3860600
2020-12-16,42200.000000,43150.000000,42200.000000,42200.000000,37762.660156,3442200
2020-12-17,42650.000000,42825.000000,42100.000000,42150.000000,37717.914063,1644300
2020-12-18,42200.000000,42300.000000,42025.000000,42025.000000,37606.062500,2252800
2020-12-21,42025.000000,42100.000000,41700.000000,41850.000000,37449.464844,2841400
2020-12-22,41700.000000,42300.000000,41250.000000,41325.000000,36979.667969,2408600
2020-12-23,41500.000000,41875.000000,40825.000000,41075.000000,36755.953125,2150000
2020-12-28,41200.000000,41500.000000,41000.000000,41025.000000,36711.210938,1749700
2020-12-29,41100.000000,42050.000000,41000.000000,41075.000000,36755.953125,1867300
2020-12-30,41075.000000,41575.000000,40900.000000,41000.000000,36688.839844,1870000
2021-01-04,41200.000000,41225.000000,40600.000000,41000.000000,36688.839844,1092400
2021-01-05,40800.000000,41175.000000,40575.000000,40725.000000,36442.753906,1892400
2021-01-06,40725.000000,41000.000000,40075.000000,40350.000000,36107.191406,1996700
2021-01-07,40700.000000,40800.000000,40300.000000,40350.000000,36107.191406,1240500
2021-01-08,40700.000000,41450.000000,40375.000000,41250.000000,36912.554688,2447500
2021-01-11,41250.000000,41500.000000,41000.000000,41250.000000,36912.554688,1923000
2021-01-12,41250.000000,41400.000000,40500.000000,40500.000000,36241.417969,2653800
2021-01-13,40525.000000,41450.000000,40525.000000,41450.000000,37091.523438,2387600
2021-01-14,41500.000000,41600.000000,40750.000000,40800.000000,36509.871094,2010800
2021-01-15,41050.000000,41225.000000,40675.000000,40800.000000,36509.871094,1232900
2021-01-18,40850.000000,41175.000000,40750.000000,41175.000000,36845.437500,1540000
2021-01-19,41500.000000,41800.000000,41000.000000,41175.000000,36845.437500,1712300
2021-01-20,41300.000000,41500.000000,41000.000000,41075.000000,36755.953125,1184800
2021-01-21,41150.000000,41550.000000,41075.000000,41075.000000,36755.953125,950100
2021-01-22,41000.000000,41325.000000,40525.000000,40850.000000,36554.613281,2558800
2021-01-25,40825.000000,40850.000000,40250.000000,40250.000000,36017.707031,1687100
2021-01-26,40250.000000,40750.000000,39850.000000,39925.000000,35726.875000,2584900
2021-01-27,40000.000000,40150.000000,39600.000000,40025.000000,35816.359375,1403200
2021-01-28,39900.000000,40050.000000,38875.000000,38925.000000,34832.031250,2215200
2021-01-29,39000.000000,39500.000000,37400.000000,37725.000000,33758.207031,3424600
2021-02-01,37725.000000,38475.000000,37000.000000,38200.000000,34183.257813,2429600
2021-02-02,38500.000000,40700.000000,38500.000000,39050.000000,34943.882813,2196400
2021-02-03,39675.000000,39800.000000,38800.000000,38825.000000,34742.542969,1236800
2021-02-04,38825.000000,39175.000000,38525.000000,38800.000000,34720.171875,864200
2021-02-05,38850.000000,39000.000000,38700.000000,38875.000000,34787.285156,825500
2021-02-08,38875.000000,39175.000000,38775.000000,38800.000000,34720.171875,910100
2021-02-09,38825.000000,39175.000000,38775.000000,38775.000000,34697.800781,919800
2021-02-10,38775.000000,38900.000000,38500.000000,38500.000000,34451.714844,673800
2021-02-11,38525.000000,38800.000000,38500.000000,38725.000000,34653.058594,399400
2021-02-15,38850.000000,38925.000000,38700.000000,38725.000000,34653.058594,740100
2021-02-16,38725.000000,38800.000000,38475.000000,38475.000000,34429.343750,1236000
2021-02-17,38500.000000,38575.000000,38100.000000,38125.000000,34116.148438,869400
2021-02-18,38125.000000,38150.000000,38000.000000,38000.000000,34004.289063,1120200
2021-02-19,38000.000000,38000.000000,37700.000000,37750.000000,33780.582031,1005200
2021-02-22,37950.000000,37950.000000,37075.000000,37075.000000,33176.554688,2705400
2021-02-23,37125.000000,37275.000000,36500.000000,36550.000000,32706.759766,3085400
2021-02-24,36750.000000,37250.000000,36525.000000,36700.000000,32840.984375,1732700
2021-02-25,36700.000000,36900.000000,36625.000000,36675.000000,32818.613281,1337200
2021-02-26,36600.000000,36800.000000,36325.000000,36500.000000,32662.017578,2090300
2021-03-01,36650.000000,36700.000000,36500.000000,36600.000000,32751.501953,1322300
2021-03-02,36800.000000,37750.000000,36625.000000,37375.000000,33445.011719,5486400
2021-03-03,37500.000000,37650.000000,36800.000000,37000.000000,33109.441406,2014500
2021-03-04,37000.000000,37500.000000,36525.000000,36900.000000,33019.957031,2697500
2021-03-05,36800.000000,36900.000000,36525.000000,36600.000000,32751.501953,1323200
2021-03-08,36700.000000,37100.000000,36550.000000,36575.000000,32729.126953,1204700
2021-03-09,36750.000000,36825.000000,36225.000000,36250.000000,32438.304688,1235100
2021-03-10,36250.000000,36475.000000,36200.000000,36250.000000,32438.304688,778000
2021-03-12,36700.000000,36700.000000,36200.000000,36225.000000,32415.935547,1753500
2021-03-15,36250.000000,36350.000000,36075.000000,36200.000000,32393.562500,1050000
2021-03-16,36200.000000,36800.000000,36200.000000,36675.000000,32818.613281,2051600
2021-03-17,36675.000000,36775.000000,36250.000000,36300.000000,32483.044922,718900
2021-03-18,36400.000000,36750.000000,36400.000000,36600.000000,32751.501953,888600
2021-03-19,36750.000000,38200.000000,36525.000000,37775.000000,33802.953125,4188200
2021-03-22,37925.000000,38775.000000,37700.000000,37775.000000,33802.953125,1444500
2021-03-23,37775.000000,38100.000000,36625.000000,36775.000000,32908.097656,1315000
2021-03-24,36975.000000,37000.000000,35800.000000,35825.000000,32057.996094,2612800
2021-03-25,35825.000000,36225.000000,35600.000000,35825.000000,32057.996094,1351600
2021-03-26,36000.000000,36175.000000,35825.000000,36100.000000,32304.078125,522000
2021-03-29,36250.000000,37100.000000,36225.000000,36450.000000,32617.275391,1553900
2021-03-30,36500.000000,36900.000000,36350.000000,36675.000000,32818.613281,1016800
2021-03-31,36675.000000,36700.000000,36075.000000,36175.000000,32371.191406,1679500
2021-04-01,37000.000000,37000.000000,36150.000000,36325.000000,32505.419922,695600
2021-04-05,36450.000000,36600.000000,36200.000000,36200.000000,32393.562500,573500
2021-04-06,36300.000000,36650.000000,36225.000000,36275.000000,32460.677734,467300
2021-04-07,36300.000000,36500.000000,36125.000000,36225.000000,32415.935547,508000
2021-04-08,36450.000000,37100.000000,36300.000000,37050.000000,33154.183594,1493300
2021-04-09,37300.000000,38550.000000,37275.000000,38050.000000,34049.031250,2365500
2021-04-12,38050.000000,38075.000000,36800.000000,36825.000000,32952.839844,1281700
2021-04-13,36825.000000,36900.000000,36350.000000,36375.000000,32550.158203,1793900
2021-04-14,36375.000000,36800.000000,36325.000000,36625.000000,32773.871094,539700
2021-04-15,36525.000000,36600.000000,36175.000000,36350.000000,32527.787109,738700
2021-04-16,36350.000000,36425.000000,36275.000000,36400.000000,32572.533203,321900
2021-04-19,36400.000000,36450.000000,36100.000000,36250.000000,32438.304688,711300
2021-04-20,36250.000000,36800.000000,36125.000000,36350.000000,32527.787109,782700
2021-04-21,36200.000000,36350.000000,36200.000000,36200.000000,32393.562500,424400
2021-04-22,36325.000000,36500.000000,36100.000000,36125.000000,32326.449219,757500
2021-04-23,36125.000000,36200.000000,36000.000000,36050.000000,32259.335938,1163000
2021-04-26,36100.000000,36350.000000,36000.000000,36225.000000,32415.935547,688300
2021-04-27,36225.000000,36225.000000,36000.000000,36000.000000,32214.593750,912800
2021-04-28,36025.000000,36575.000000,36000.000000,36425.000000,32594.900391,494200
2021-04-29,36425.000000,36650.000000,36100.000000,36125.000000,32326.449219,590800
2021-04-30,36125.000000,36350.000000,36100.000000,36100.000000,32304.078125,871200
2021-05-03,36100.000000,36200.000000,35825.000000,35900.000000,32125.105469,734000
2021-05-04,35900.000000,36000.000000,35700.000000,35700.000000,31946.136719,986000
2021-05-05,35700.000000,35725.000000,35350.000000,35400.000000,31677.681641,1525200
2021-05-06,35425.000000,35575.000000,35125.000000,35175.000000,31476.341797,912100
2021-05-07,35175.000000,35300.000000,35000.000000,35075.000000,31386.857422,1394100
2021-05-10,35100.000000,35175.000000,35025.000000,35175.000000,31476.341797,871500
2021-05-11,35150.000000,35375.000000,35025.000000,35050.000000,31364.482422,521900
2021-05-17,35050.000000,35125.000000,33575.000000,33600.000000,30066.953125,2745000
2021-05-18,33600.000000,34100.000000,33600.000000,33800.000000,30245.923828,873100
2021-05-19,33800.000000,33800.000000,33050.000000,33075.000000,29597.156250,1242400
2021-05-20,33100.000000,33200.000000,32825.000000,32925.000000,29462.929688,1731000
2021-05-21,33600.000000,33600.000000,32750.000000,32925.000000,29462.929688,1093600
2021-05-24,32925.000000,33250.000000,32925.000000,33000.000000,29530.041016,591800
2021-05-25,33000.000000,33100.000000,32925.000000,33100.000000,29619.527344,986100
2021-05-27,33100.000000,33500.000000,32900.000000,32900.000000,29440.558594,4069600
2021-05-28,32900.000000,33150.000000,32825.000000,32900.000000,29440.558594,762800
